image_id,file_name,gt_boxes,predictions,rank,query_index,class_id,score,best_gt_iou,best_gt_index,best_gt_category_id,box_x1,box_y1,box_x2,box_y2,query_gt_attention_mass,query_top_pred_attention_mass,query_attention_entropy,query_attention_peak_x,query_attention_peak_y,out
492,000000000492_ILSVRC2012_val_00001641.JPEG,6,5,1,0,3,0.8776707053184509,0.760108865690576,0,4,89.66033172607422,78.0393295288086,199.24758911132812,243.5293731689453,0.8124999969715248,0.8202269914101852,0.3979921637538182,0.1640625,0.4296875,results/rfdetr_attention_query_overlays_train1000_6best/query_overlays/000000000492_000000000492_ILSVRC2012_val_00001641_rank01_q000_attn.jpg
492,000000000492_ILSVRC2012_val_00001641.JPEG,6,5,2,1,3,0.8566998839378357,0.8045988963346022,1,4,328.8199768066406,176.21961975097656,407.8697509765625,323.8876037597656,0.9838714808133154,0.8758707112753734,0.3959861684705122,0.6484375,0.6328125,results/rfdetr_attention_query_overlays_train1000_6best/query_overlays/000000000492_000000000492_ILSVRC2012_val_00001641_rank02_q001_attn.jpg
492,000000000492_ILSVRC2012_val_00001641.JPEG,6,5,3,2,3,0.8020070791244507,0.9866518741024181,4,4,0.2371910959482193,47.57461929321289,55.77845764160156,140.0594024658203,0.8822972407278207,0.8822972407278207,0.38789546989187085,0.0078125,0.1953125,results/rfdetr_attention_query_overlays_train1000_6best/query_overlays/000000000492_000000000492_ILSVRC2012_val_00001641_rank03_q002_attn.jpg
1527,000000001527_ILSVRC2012_val_00005152.JPEG,4,28,1,0,0,0.7361752986907959,0.0,0,179,200.5149688720703,328.0684814453125,249.84979248046875,374.4341735839844,0.0,0.8803636180286442,0.3751125283490588,0.4765625,0.9921875,results/rfdetr_attention_query_overlays_train1000_6best/query_overlays/000000001527_000000001527_ILSVRC2012_val_00005152_rank01_q000_attn.jpg
1527,000000001527_ILSVRC2012_val_00005152.JPEG,4,28,2,7,0,0.6216591596603394,0.0,0,179,429.99066162109375,354.2852478027344,454.5278625488281,374.2201232910156,0.0,0.8210796109145001,0.2925184335502442,0.8828125,0.9921875,results/rfdetr_attention_query_overlays_train1000_6best/query_overlays/000000001527_000000001527_ILSVRC2012_val_00005152_rank02_q007_attn.jpg
1527,000000001527_ILSVRC2012_val_00005152.JPEG,4,28,3,3,110,0.5388271808624268,0.7855109165093385,1,179,231.03741455078125,197.73092651367188,272.4464111328125,260.4476318359375,0.9109185875191766,0.9109185875191766,0.3825311440418122,0.4609375,0.6015625,results/rfdetr_attention_query_overlays_train1000_6best/query_overlays/000000001527_000000001527_ILSVRC2012_val_00005152_rank03_q003_attn.jpg
1151,000000001151_ILSVRC2012_val_00003867.JPEG,10,1,1,0,112,0.2220713347196579,0.0630772240302958,0,143,2.164900302886963,6.67694616317749,474.0365905761719,316.1746520996094,0.25694424953638323,0.81735844768671,0.3928121203198953,0.8984375,0.0390625,results/rfdetr_attention_query_overlays_train1000_6best/query_overlays/000000001151_000000001151_ILSVRC2012_val_00003867_rank01_q000_attn.jpg
945,000000000945_ILSVRC2012_val_00003195.JPEG,7,1,1,0,0,0.8203139901161194,0.948014646684269,6,1,92.03279876708984,34.28194046020508,235.15284729003906,428.1515808105469,0.9262047431264337,0.8699697398600433,0.3975568065596787,0.5078125,0.0859375,results/rfdetr_attention_query_overlays_train1000_6best/query_overlays/000000000945_000000000945_ILSVRC2012_val_00003195_rank01_q000_attn.jpg
999,000000000999_ILSVRC2012_val_00003377.JPEG,4,10,1,0,18,0.9458944201469421,0.9677493763096973,0,19,109.42578887939453,22.214859008789062,335.9228820800781,254.9285888671875,0.8309777012059127,0.8309777012059127,0.3977485840784677,0.5703125,0.0859375,results/rfdetr_attention_query_overlays_train1000_6best/query_overlays/000000000999_000000000999_ILSVRC2012_val_00003377_rank01_q000_attn.jpg
999,000000000999_ILSVRC2012_val_00003377.JPEG,4,10,2,8,162,0.6840599775314331,0.15286527335214675,1,176,187.97378540039062,156.8427276611328,497.5595397949219,373.68878173828125,0.1888481952259535,0.9346980507129977,0.39722520890321256,0.8203125,0.4453125,results/rfdetr_attention_query_overlays_train1000_6best/query_overlays/000000000999_000000000999_ILSVRC2012_val_00003377_rank02_q008_attn.jpg
999,000000000999_ILSVRC2012_val_00003377.JPEG,4,10,3,1,177,0.418950617313385,0.8648258264740883,1,176,394.9510803222656,256.25128173828125,485.9360656738281,373.2216491699219,0.9431118409350112,1.0,0.3850640463766139,0.8671875,0.9921875,results/rfdetr_attention_query_overlays_train1000_6best/query_overlays/000000000999_000000000999_ILSVRC2012_val_00003377_rank03_q001_attn.jpg
487,000000000487_ILSVRC2012_val_00001624.JPEG,3,4,1,0,18,0.9129972457885742,0.6229692314108194,1,19,290.4183349609375,71.46994018554688,376.4071350097656,278.8818664550781,0.8237640216017408,0.8133652564722085,0.38853355590004196,0.6328125,0.2734375,results/rfdetr_attention_query_overlays_train1000_6best/query_overlays/000000000487_000000000487_ILSVRC2012_val_00001624_rank01_q000_attn.jpg
487,000000000487_ILSVRC2012_val_00001624.JPEG,3,4,2,1,18,0.8261478543281555,0.9226101051006049,0,19,6.004124641418457,113.88412475585938,303.97119140625,231.1111602783203,0.7389643013881508,0.8328624994795968,0.4015349635819952,0.4296875,0.3203125,results/rfdetr_attention_query_overlays_train1000_6best/query_overlays/000000000487_000000000487_ILSVRC2012_val_00001624_rank02_q001_attn.jpg
487,000000000487_ILSVRC2012_val_00001624.JPEG,3,4,3,4,162,0.2545454800128937,0.2571773994939297,0,19,0.9565502405166626,108.6051025390625,497.04779052734375,371.3037414550781,0.1762907022398872,1.0,0.3935443566379661,0.0078125,0.6953125,results/rfdetr_attention_query_overlays_train1000_6best/query_overlays/000000000487_000000000487_ILSVRC2012_val_00001624_rank03_q004_attn.jpg
